# French/Foreign Word Phoneme Map
# Generated from: french_words.txt
# Format: word | IPA phonemes | detected language
# Total: 897 mapped, 0 failed
#
abbé | a b e | fr
aboukir | a b u k i ʁ | fr
abugour | a b y ɡ u ʁ | fr
abélard | a b e l a ʁ | fr
académie | a k a d e m i | fr
académies | a k a d e m i | fr
accoules | a k u l | fr
adah | a d a | fr
adelmonte | a d ɛ l m ɔ̃ t | fr
admirari | a d m i ʁ a ʁ i | la
adrets | a d ʁ ɛ | fr
aegyptus | a ʒ i p t y | la
affettatore | a f f e t t a ˈt o r e | it
aguado | a ɡ a d o | fr
aigues | e ɡ | fr
aimé | ɛ m e | fr
alatri | a l a t ʁ i | fr
albano | a l b a n o | fr
alceste | a l s ɛ s t | fr
alcmena | a l s m ə n a | fr
alcorn | a l k ɔ ʁ n | fr
aleria | a l ə ʁ j a | fr
algeri | a l ʒ ə ʁ i | fr
alguazils | a l ɡ a z i l | fr
alicante | a l i k ɑ̃ t | fr
allut | a l y | fr
allée | a l e | fr
allées | a l e | fr
almo | a l m o | fr
amasina | a m a z i n a | fr
amédée | a m e d e | fr
amélie | a m e l i | fr
anagni | a n a ɲ i | fr
andré | ɑ̃ d ʁ e | fr
ange | ɑ̃ ʒ | fr
angoulême | ɑ̃ ɡ u l ɛ m | fr
anhelitu | ɑ̃ l i t y | la
antibes | ɑ̃ t i b | fr
antin | ɑ̃ t ɛ̃ | fr
apicius | a p i s j y | fr
aquapendente | a k a p ɑ̃ d ɑ̃ t | fr
aquilo | a k i l o | fr
arcole | a ʁ k ɔ l | fr
ariosto | a ʁ j ɔ s t o | fr
aristoloches | a ʁ i s t ɔ l ɔ ʃ | fr
arlésienne | a ʁ l e z j ɛ n | fr
arma | a ʁ m a | la
armilly | a ʁ m i j i | fr
arnould | a ʁ n u l d | fr
arnstein | ʔ a ʁ n ʃ t ə ɪ n | de
asmodée | a s m ɔ d e | fr
assommoir | a s ɔ m w a ʁ | fr
assunta | a s y t a | fr
athalie | a t a l i | fr
atreides | a t ʁ ɛ d | fr
auteuil | o t ø j | fr
avare | a v a ʁ | fr
avia | a v j a | fr
avrigny | a v ʁ i ɲ i | fr
azur | a z y ʁ | fr
azzo | a z z o | fr
babuino | b a b u ˈi n o | it
baccho | b a k k o | it
badhaus | b a t a oː s | de
bagni | b a ɲ ɲ i | it
bagnères | b a ɲ ɛ ʁ | fr
baldi | b a l d i | fr
baptistin | b a p t i s t ɛ̃ | fr
barbaro | ˈb a r b a r o | it
barberi | b a r b e r i | it
barchetta | b a r ˈk e t t a | it
barrière | b a ʁ j ɛ ʁ | fr
barrois | b a ʁ w a | fr
bartolini | b a r t o ˈl i n i | it
bastia | b a s t j a | fr
beaucaire | b o k ɛ ʁ | fr
beauharnais | b o a ʁ n ɛ | fr
beaumarchais | b o m a ʁ ʃ ɛ | fr
beaurepaire | b o ʁ ə p ɛ ʁ | fr
beauveau | b o v o | fr
beauvoisin | b o v w a z ɛ̃ | fr
bedeau | b ə d o | fr
bellegarde | b ɛ l ɡ a ʁ d | fr
bellgarde | b ɛ l ɡ a ʁ d | fr
bentivoglio | b e n ˈt i v o ʎ ʎ o | it
beppo | b e p p o | it
bertel | b ɛ ʁ t ɛ l | fr
bertuccio | b ɛ ʁ t y k s j o | fr
bidassoa | b i d a s w a | fr
blacas | b l a k a | fr
blanchet | b l ɑ̃ ʃ ɛ | fr
blasé | b l a z e | fr
boileau | b w a l o | fr
boiteux | b w a t ø | fr
bonifacio | b ɔ n i f a s j o | fr
borgo | b ɔ ʁ ɡ o | fr
